YEAR,STATEFIP,COUNTYFP,OWNERSHP,HHINCOME,SEX,AGE,MARST,RACE,EDUC
2019,13,117,1,129700,1,50,1,4,2
2019,13,117,1,129700,0,49,1,4,2
2019,13,0,1,4200,1,61,0,2,1
2019,13,0,1,4200,0,60,0,2,1
2019,13,63,0,163450,1,32,0,5,2
2019,13,63,0,163450,0,36,0,2,2
2019,13,63,0,163450,1,40,0,4,1
2019,13,63,0,163450,1,37,1,4,3
2019,13,63,0,163450,1,35,0,4,1
2019,13,135,1,16000,1,58,1,4,2
2019,13,135,1,16000,0,38,1,4,1
2019,13,59,1,290000,1,47,1,1,3
2019,13,59,1,290000,0,47,1,1,3
2019,13,59,1,20000,1,30,0,1,2
2019,13,67,0,8000,0,25,3,5,1
2019,13,0,1,104000,0,35,1,1,3
2019,13,0,1,104000,1,41,1,1,2
2019,13,57,1,152000,0,32,1,1,2
2019,13,57,1,152000,1,33,1,1,2
2019,13,0,0,37100,0,37,1,2,2
2019,13,0,0,37100,1,37,1,2,1
2019,13,0,0,35000,0,54,1,1,1
2019,13,0,0,35000,1,40,1,2,2
2019,13,245,0,20000,0,59,3,2,1
2019,13,0,0,30600,0,32,1,2,1
2019,13,0,0,30600,1,39,1,2,1
2019,13,0,0,105000,1,51,2,1,2
2019,13,0,0,105000,0,40,3,1,1
2019,13,0,1,198200,1,66,1,2,3
2019,13,0,1,198200,0,60,1,2,2
2019,13,0,0,83000,1,30,2,2,1
2019,13,0,1,111500,0,59,1,2,1
2019,13,0,1,111500,1,55,1,2,2
2019,13,0,1,26360,0,61,2,2,1
2019,13,0,1,26360,1,23,0,2,1
2019,13,0,0,97000,0,29,1,1,2
2019,13,0,0,97000,1,31,1,1,2
2019,13,139,0,25000,0,30,1,1,1
2019,13,139,0,25000,1,30,1,1,1
2019,13,0,1,132000,0,55,1,1,2
2019,13,0,1,132000,1,56,1,1,1
2019,13,0,1,133400,0,38,1,1,3
2019,13,0,1,133400,1,48,1,1,2
2019,13,73,1,97600,0,59,0,1,2
2019,13,73,1,97600,0,24,3,1,1
2019,13,45,1,69100,0,64,1,1,1
2019,13,45,1,69100,1,44,1,5,1
2019,13,45,1,69100,1,43,0,1,1
2019,13,0,1,29400,0,54,3,1,1
2019,13,0,1,29400,1,56,3,1,1
2019,13,51,0,31300,0,30,2,1,1
2019,13,0,1,145000,0,40,1,2,3
2019,13,0,1,145000,1,41,1,2,2
2019,13,57,1,88000,1,38,1,1,1
2019,13,57,1,88000,0,36,1,1,2
2019,13,135,1,96000,1,73,1,4,3
2019,13,135,1,96000,0,71,1,4,2
2019,13,0,1,106000,1,56,1,1,2
2019,13,0,1,106000,0,56,1,1,2
2019,13,0,1,106000,1,24,0,1,2
2019,13,57,1,345000,0,44,1,1,2
2019,13,57,1,345000,1,48,1,1,2
2019,13,67,1,190200,1,63,1,1,1
2019,13,67,1,190200,0,66,1,1,1
2019,13,77,1,118500,0,68,4,1,1
2019,13,77,1,118500,0,40,0,1,1
2019,13,77,1,118500,1,29,0,1,2
2019,13,0,1,120800,1,68,1,2,2
2019,13,0,1,120800,0,58,1,2,2
2019,13,0,1,89490,0,46,0,1,1
2019,13,0,1,89490,1,46,0,1,1
2019,13,0,0,105000,1,49,1,2,2
2019,13,0,0,105000,0,46,1,2,3
2019,13,0,1,58000,1,55,3,1,1
2019,13,117,1,224000,1,47,1,4,3
2019,13,117,1,224000,0,44,1,4,2
2019,13,135,1,60400,0,52,1,1,3
2019,13,67,1,142000,1,36,1,5,1
2019,13,67,1,142000,0,34,1,1,2
2019,13,67,1,142000,1,39,3,1,1
2019,13,67,1,142000,0,30,0,2,2
2019,13,51,1,40600,1,37,3,2,2
2019,13,51,1,40600,1,49,2,2,2
2019,13,21,1,40000,0,55,3,2,2
2019,13,21,1,40000,0,34,0,2,2
2019,13,0,0,46000,1,37,1,1,2
2019,13,0,0,46000,0,35,1,1,2
2019,13,0,0,12900,1,36,0,2,2
2019,13,59,0,4800,0,24,0,1,2
2019,13,0,0,15000,0,50,2,2,1
2019,13,77,1,93300,1,72,1,1,2
2019,13,77,1,93300,0,69,1,1,2
2019,13,135,0,45000,1,57,2,5,1
2019,13,117,1,186100,0,72,3,1,2
2019,13,117,1,186100,1,68,3,1,2
2019,13,0,1,95000,0,51,0,1,3
2019,13,0,1,95000,1,56,3,1,2
2019,13,0,1,258000,1,44,1,1,2
2019,13,0,1,258000,0,40,1,1,2
2019,13,113,0,26350,0,37,1,2,1
2019,13,67,1,74000,1,30,1,2,2
2019,13,67,1,74000,0,29,1,1,2
2019,13,139,0,16000,0,29,0,1,2
2019,13,0,0,45900,1,70,0,2,2
2019,13,0,1,124400,1,32,1,1,2
2019,13,0,1,124400,0,33,1,1,1
2019,13,57,1,23800,0,72,1,1,1
2019,13,57,1,23800,1,71,1,1,1
2019,13,57,1,407000,1,61,4,1,2
2019,13,0,1,75000,1,53,3,1,1
2019,13,0,1,66620,1,53,0,5,2
2019,13,0,1,80000,1,57,4,1,2
2019,13,0,1,121500,1,44,1,1,1
2019,13,0,1,121500,0,36,1,1,2
